date,log_gdp,dlog_gdp_yoy,unemp,3m_tbill,d3m_tbill,fedfund,dfed_fund,cpi,dcpi,manu_utilization,10y_bond,d10y_bond
1/1/1972,3.720104455,,5.766666667,3.436666667,,3.546666667,,6.033333333,,81.73296667,6.033333333,
4/1/1972,3.729851744,,5.7,3.77,0.333333333,4.3,0.753333333,6.143333333,0.11,82.78253333,6.143333333,0.11
7/1/1972,3.733933897,,5.566666667,4.22,0.45,4.743333333,0.443333333,6.29,0.146666667,83.2467,6.29,0.146666667
10/1/1972,3.741145766,,5.366666667,4.863333333,0.643333333,5.146666667,0.403333334,6.373333333,0.083333333,85.66976667,6.373333333,0.083333333
1/1/1973,3.751762873,0.031658418,4.933333333,5.7,0.836666667,6.536666667,1.39,6.603333333,0.23,87.70223333,6.603333333,0.23
4/1/1973,3.756465323,0.026613579,4.933333333,6.603333333,0.903333333,7.816666667,1.28,6.806666667,0.203333334,87.6961,6.806666667,0.203333334
7/1/1973,3.754175348,0.020241451,4.8,8.323333333,1.72,10.56,2.743333333,7.206666667,0.4,87.50263333,7.206666667,0.4
10/1/1973,3.758278299,0.017132533,4.766666667,7.5,-0.823333333,9.996666667,-0.563333333,6.753333333,-0.453333334,88.28586667,6.753333333,-0.453333334
1/1/1974,3.75452821,0.002765337,5.133333333,7.616666667,0.116666667,9.323333333,-0.673333334,7.053333333,0.3,86.64866667,7.053333333,0.3
4/1/1974,3.75555923,-0.000906093,5.2,8.153333333,0.536666666,11.25,1.926666667,7.543333333,0.49,85.7938,7.543333333,0.49
7/1/1974,3.751435006,-0.002740342,5.633333333,8.19,0.036666667,12.09,0.84,7.963333333,0.42,84.8112,7.963333333,0.42
10/1/1974,3.749746052,-0.008532247,6.6,7.36,-0.83,9.346666667,-2.743333333,7.67,-0.293333333,80.4948,7.67,-0.293333333
1/1/1975,3.744427007,-0.010101203,8.266666667,5.75,-1.61,6.303333333,-3.043333334,7.54,-0.13,73.3746,7.54,-0.13
4/1/1975,3.747519164,-0.008040066,8.866666667,5.393333333,-0.356666667,5.42,-0.883333333,8.05,0.51,71.7367,8.05,0.51
7/1/1975,3.754889872,0.003454866,8.466666667,6.33,0.936666667,6.16,0.74,8.296666667,0.246666667,73.71726667,8.296666667,0.246666667
10/1/1975,3.76069873,0.010952678,8.3,5.626666667,-0.703333333,5.413333333,-0.746666667,8.063333333,-0.233333334,75.28313333,8.063333333,-0.233333334
1/1/1976,3.770356781,0.025929774,7.733333333,4.916666667,-0.71,4.826666667,-0.586666666,7.753333333,-0.31,77.41146667,7.753333333,-0.31
4/1/1976,3.773531569,0.026012405,7.566666667,5.156666667,0.24,5.196666667,0.37,7.773333333,0.02,78.15153333,7.773333333,0.02
7/1/1976,3.775908054,0.021018182,7.733333333,5.15,-0.006666667,5.283333333,0.086666666,7.73,-0.043333333,78.70713333,7.73,-0.043333333
10/1/1976,3.779044688,0.018345958,7.766666667,4.673333333,-0.476666667,4.873333333,-0.41,7.19,-0.54,79.2891,7.19,-0.54
1/1/1977,3.784145731,0.01378895,7.5,4.63,-0.043333333,4.66,-0.213333333,7.353333333,0.163333333,80.70756667,7.353333333,0.163333333
4/1/1977,3.792507883,0.018976314,7.133333333,4.84,0.21,5.156666667,0.496666667,7.37,0.016666667,82.83456667,7.37,0.016666667
7/1/1977,3.800274243,0.024366189,6.9,5.496666667,0.656666667,5.82,0.663333333,7.356666667,-0.013333333,83.1434,7.356666667,-0.013333333
